name,area,pop2005,lon,lat
Afghanistan,65209,25067407,65.216,33.677
Albania,2740,3153731,20.068,41.143
Algeria,238174,32854159,2.632,28.163
Angola,124670,16095214,17.544,-12.296
Antarctica,0,0,21.304,-80.446
Argentina,273669,38747148,-65.167,-35.377
Armenia,2820,3017661,44.563,40.534
Australia,768230,20310208,136.189,-24.973
Austria,8245,8291979,14.912,47.683
Azerbaijan,8260,8352021,47.395,40.43
Bangladesh,13017,15328112,89.941,24.218
Belarus,20748,9795287,28.047,53.54
Belgium,0,10398049,4.664,50.643
Belize,2281,275546,-88.602,17.219
Benin,11062,8490301,2.469,10.541
Bhutan,4700,637013,90.429,27.415
Bolivia,108438,9182015,-64.671,-16.715
Bosnia and Herzegovina,5120,3915238,17.786,44.169
Botswana,56673,1835938,23.815,-22.182
Brazil,845942,186830759,-53.089,-10.772
Brunei,527,373831,114.591,4.468
Bulgaria,11063,7744591,25.231,42.761
Burkina Faso,27360,13933363,-1.74,12.278
Burundi,2568,7858791,29.887,-3.356
Cambodia,17652,13955507,104.564,12.714
Cameroon,46540,17795149,12.277,5.133
Canada,909351,32270507,-109.433,59.081
Central African Republic,62298,4191429,20.483,6.571
Chad,125920,10145609,18.665,15.361
Chile,74880,16295102,-69.433,-23.389
China,932743,1312978855,106.514,33.42
Colombia,103870,4494579,-73.076,3.9
Costa Rica,5106,4327228,-83.946,9.971
Croatia,5592,455149,16.693,45.723
Cuba,10982,11259905,-77.781,21.297
Czech Republic,7727,10191762,15.338,49.743
Democratic Republic of the Congo,226705,58740547,23.654,-2.876
Denmark,4243,5416945,9.264,56.058
Djibouti,2318,804206,42.516,11.9
Dominican Republic,4838,9469601,-70.729,19.015
East Timor,1487,1067285,125.878,-8.822
Ecuador,27684,13060993,-78.497,-1.385
Egypt,99545,72849793,29.872,26.494
El Salvador,2072,6668356,-88.866,13.736
Equatorial Guinea,2805,484098,10.488,1.607
Eritrea,10100,4526722,38.219,16.045
Estonia,4239,1344312,25.793,58.674
Ethiopia,100000,78985857,39.616,8.626
Falkland Islands,1217,2975,-58.694,-51.665
Fiji,1827,828046,177.974,-17.819
Finland,30459,5246004,26.272,64.504
France,55010,60990544,2.55,46.565
French Southern and Antarctic Lands,0,0,69.117,-49.302
Gabon,25767,1290693,11.797,-0.591
Gambia,1000,1617029,-15.386,13.453
Georgia,6949,4473409,43.518,42.176
Germany,34895,82652369,9.851,51.11
Ghana,22754,2253501,-1.207,7.96
Greece,12890,11099737,21.766,39.666
Greenland,41045,57475,-41.391,74.719
Guatemala,10843,12709564,-90.398,15.256
Guinea,24572,9002656,-10.942,10.439
Guinea Bissau,2812,1596929,-14.651,12.125
Guyana,19685,739472,-58.974,4.792
Haiti,2756,9296291,-72.278,19.142
Honduras,11189,683411,-86.863,14.819
Hungary,9210,10086387,19.134,47.07
Iceland,10025,295732,-18.48,64.764
India,297319,1134403141,78.5,21.0
Indonesia,181157,226063044,114.252,-0.976
Iran,163620,69420607,54.301,32.565
Iraq,43737,27995984,43.772,33.048
Ireland,6889,4143294,-8.152,53.177
Israel,2171,6692037,34.851,31.026
Italy,29411,5864636,12.8,42.7
Ivory Coast,31800,18584701,-5.556,7.632
Jamaica,1083,2682469,-77.32,18.151
Japan,36450,127896740,139.068,36.491
Jersey,0,0,-2.129,49.219
Jordan,8824,5544066,36.319,30.703
Kazakhstan,269970,15210609,67.301,48.16
Kenya,56914,35598952,37.858,0.53
Kosovo,1450,1810463,20.948,42.452
Kuwait,1782,2700,47.376,29.476
Kyrgyzstan,19180,5203547,74.555,41.465
Laos,23080,566391,102.471,19.905
Latvia,6205,2301793,25.641,56.858
Lebanon,1023,401074,35.888,33.92
Lesotho,3035,1980831,28.243,-29.581
Liberia,9632,3441796,-9.657,6.682
Libya,175954,5918217,18.023,27.044
Lithuania,6268,3425077,23.897,55.336
Luxembourg,0,456613,6.088,49.771
Macedonia,2543,2033655,21.698,41.6
Madagascar,58154,18642586,46.706,-19.374
Malawi,9408,13226091,33.808,-13.4
Malaysia,32855,25652985,102.195,4.201
Mali,122019,1161109,-3.524,17.35
Mauritania,102522,2963105,-10.332,20.26
Mexico,190869,104266392,-102.535,23.951
Moldova,3288,3876661,28.599,47.193
Mongolia,156650,2580704,102.876,46.056
Montenegro,0,607969,19.254,42.792
Morocco,44630,30494991,-5.758,32.706
Mozambique,78409,20532675,37.923,-14.422
Myanmar,65209,53582855,96.639,21.844
Namibia,82329,2019677,17.218,-22.133
Nepal,14300,27093656,83.939,28.253
Netherlands,3388,1632769,5.389,52.077
New Caledonia,1828,234185,165.447,-21.359
New Zealand,26799,4097112,172.235,-42.634
Nicaragua,12140,5462539,-85.034,12.84
Niger,126670,1326419,9.398,17.426
Nigeria,91077,141356083,8.105,9.594
North Korea,9873,47869837,128.103,36.504
Northern Cyprus,924,836321,33.219,35.043
Norway,30625,4638836,8.74,61.152
Oman,30950,2507042,57.407,21.656
Pakistan,77088,158080591,69.386,29.967
Palestine,0,3762005,35.278,32.037
Panama,7443,3231502,-80.92,8.384
Papua New Guinea,45286,6069715,143.459,-5.949
Paraguay,39730,5904342,-58.391,-23.236
Peru,128000,27274266,-75.552,-9.326
Philippines,29817,84566163,122.466,11.118
Poland,30629,38195558,19.401,52.125
Portugal,9150,10528226,-8.058,40.309
Puerto Rico,887,3946779,-66.466,18.221
Qatar,1100,796186,51.191,25.316
Republic of Congo,34150,3609851,15.986,-0.055
Republic of Serbia,0,9863026,20.806,44.032
Romania,22987,21627557,24.969,45.844
Russia,1638094,143953092,96.689,61.988
Rwanda,2467,9233793,29.917,-1.998
Saudi Arabia,214969,2361236,44.585,24.023
Senegal,19253,1177034,-14.881,15.013
Sierra Leone,7162,5586403,-11.792,8.56
Slovakia,4808,5386995,19.491,48.707
Slovenia,2014,1999425,14.827,46.124
Solomon Islands,2799,472419,160.109,-9.611
Somalia,62734,8196395,48.316,9.774
Somaliland,17498,3508180,48.316,9.774
South Africa,121447,47938663,23.121,-30.558
South Korea,12041,23615611,126.451,39.778
Spain,49904,43397491,-3.649,40.227
Sri Lanka,6463,19120763,80.704,7.612
Sudan,237600,36899747,30.05,13.832
Suriname,15600,452468,-55.912,4.127
Swaziland,1720,1124529,31.497,-26.562
Sweden,41033,9038049,15.27,62.011
Switzerland,4000,7424389,7.908,46.861
Syria,18378,18893881,38.506,35.013
Taiwan,0,0,120.946,23.754
Tajikistan,13996,6550213,69.42,38.665
Thailand,51089,63002911,100.844,15.7
The Bahamas,1001,323295,-78.014,24.628
Togo,5439,6238572,1.081,8.799
Trinidad and Tobago,513,1323722,-61.253,10.468
Tunisia,15536,10104685,9.596,35.383
Turkey,76963,72969723,35.179,39.061
Turkmenistan,46993,4833266,59.384,39.122
Uganda,19710,28947181,32.386,1.28
Ukraine,57935,46917544,31.388,49.016
United Arab Emirates,8360,4104291,54.163,23.549
United Kingdom,24193,60244834,-1.6,53.0
United Republic of Tanzania,88359,38477873,34.823,-6.27
United States of America,915896,299846449,-98.606,39.622
Uruguay,17502,3325727,-56.012,-32.8
Uzbekistan,42540,26593123,63.17,41.75
Vanuatu,1219,215366,166.899,-15.376
Venezuela,88205,26725573,-66.166,7.125
Vietnam,32549,85028643,105.314,21.491
Western Sahara,0,440428,-13.706,24.554
Yemen,52797,21095679,48.355,15.807
Zambia,74339,11478317,26.32,-14.614
Zimbabwe,38685,13119679,29.872,-19.0
